Filename,PCU_A4_NA_6
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
0.655167,22.035,10.4216,-845086,-8109020,0.4697,4.977,-2.34258,-1.17197
0.665168,22.035,10.6174,-856351,-8065550,0.4785,4.986,-2.37380,-1.17197
0.675166,22.035,10.8137,-866426,-8012310,0.4874,4.995,-2.40173,-1.17197
0.685166,22.032,10.9851,-878485,-7997050,0.4951,5.002,-2.43516,-1.60715
0.695166,22.032,11.1994,-888596,-7934320,0.5048,5.012,-2.46319,-1.60715
0.705167,22.032,11.5214,-900383,-7814890,0.5193,5.026,-2.49586,-1.60715
0.715167,22.032,11.7172,-910516,-7770730,0.5281,5.035,-2.52395,-1.60715
0.725167,22.032,11.9126,-921965,-7739400,0.5369,5.044,-2.55569,-1.60715
0.735167,22.032,12.1428,-932352,-7678260,0.5473,5.054,-2.58448,-1.60715
0.745167,22.032,12.3425,-944004,-7648420,0.5563,5.063,-2.61678,-1.60715
0.755166,22.032,12.5942,-955047,-7583240,0.5676,5.075,-2.64739,-1.60715
0.765166,22.032,12.8910,-966092,-7494290,0.5810,5.088,-2.67801,-1.60715
0.775166,22.032,13.0863,-976692,-7463470,0.5898,5.097,-2.70739,-1.60715
0.785166,22.032,13.2806,-987884,-7438540,0.5986,5.106,-2.73841,-1.60715
0.795167,22.032,13.4751,-998653,-7411080,0.6073,5.115,-2.76827,-1.60715
0.805167,22.032,13.6154,-1011180,-7426800,0.6137,5.121,-2.80300,-1.60715
0.815167,22.032,13.9135,-1021030,-7338420,0.6271,5.134,-2.83030,-1.60715
0.825167,22.032,14.1430,-1033180,-7305230,0.6375,5.145,-2.86397,-1.60715
0.835168,22.032,14.3345,-1044220,-7284670,0.6461,5.153,-2.89457,-1.60715
0.845166,22.032,14.5144,-1055380,-7271270,0.6542,5.161,-2.92552,-1.60715
0.855166,22.032,14.7099,-1066550,-7250580,0.6630,5.170,-2.95649,-1.60715
0.865166,22.032,14.9460,-1079020,-7219450,0.6736,5.181,-2.99104,-1.60715
0.875167,22.032,15.1430,-1089340,-7193680,0.6825,5.190,-3.01966,-1.60715
0.885167,22.034,15.4427,-1101830,-7134970,0.6960,5.203,-3.05428,-2.05619
0.895167,22.034,15.5997,-1112770,-7133300,0.7031,5.210,-3.08460,-2.05619
0.905167,22.034,15.7908,-1123670,-7115990,0.7117,5.219,-3.11482,-2.05619
0.915168,22.034,15.9862,-1135630,-7103800,0.7205,5.228,-3.14796,-2.05619
0.925166,22.034,16.2758,-1147770,-7052030,0.7336,5.241,-3.18163,-2.05619
0.935166,22.034,16.4762,-1158250,-7029810,0.7426,5.250,-3.21066,-2.05619
0.945166,22.034,16.7139,-1171160,-7007130,0.7533,5.261,-3.24646,-2.05619
0.955167,22.034,16.9095,-1182510,-6993170,0.7621,5.269,-3.27792,-2.05619
0.965167,22.034,17.1043,-1193800,-6979570,0.7709,5.278,-3.30923,-2.05619
0.975167,22.034,17.2996,-1204490,-6962510,0.7797,5.287,-3.33884,-2.05619
0.985167,22.032,17.5980,-1217670,-6919360,0.7932,5.300,-3.37539,-2.52192
0.995167,22.032,17.7191,-1228580,-6933670,0.7986,5.306,-3.40562,-2.52192
1.00517,22.032,18.0230,-1241520,-6888540,0.8123,5.320,-3.44150,-2.52192
1.01517,22.032,18.2190,-1252590,-6875210,0.8212,5.328,-3.47219,-2.52192
1.02517,22.032,18.4139,-1264160,-6865260,0.8299,5.337,-3.50425,-2.52192
1.03517,22.032,18.6242,-1276730,-6855220,0.8394,5.347,-3.53909,-2.52192
1.04517,22.032,18.9290,-1288310,-6805990,0.8532,5.360,-3.57119,-2.52192
1.05517,22.032,19.0605,-1299180,-6816120,0.8591,5.366,-3.60134,-2.52192
1.06517,22.032,19.3728,-1312860,-6776820,0.8732,5.380,-3.63925,-2.52192
1.07517,22.032,19.5694,-1323950,-6765370,0.8820,5.389,-3.66998,-2.52192
1.08517,22.032,19.7659,-1335270,-6755440,0.8909,5.398,-3.70138,-2.52192
1.09517,22.032,19.8977,-1347210,-6770700,0.8968,5.404,-3.73447,-2.52192
1.10517,22.032,20.1197,-1359540,-6757230,0.9068,5.414,-3.76863,-2.52192
1.11517,22.032,20.3163,-1371160,-6749050,0.9157,5.423,-3.80085,-2.52192
1.12517,22.032,20.5125,-1384490,-6749490,0.9245,5.432,-3.83781,-2.52192
1.13517,22.032,20.8450,-1395100,-6692750,0.9395,5.447,-3.86723,-2.52192
1.14517,22.032,21.0397,-1407080,-6687720,0.9483,5.455,-3.90042,-2.52192
1.15517,22.032,21.2357,-1418760,-6681000,0.9571,5.464,-3.93280,-2.52192
1.16517,22.032,21.4719,-1431030,-6664670,0.9678,5.475,-3.96682,-2.52192
1.17517,22.032,21.6640,-1442210,-6657160,0.9764,5.484,-3.99780,-2.52192
1.18517,22.031,21.8102,-1455570,-6673790,0.9830,5.490,-4.03484,-2.99876
1.19517,22.031,22.0747,-1467280,-6646850,0.9950,5.502,-4.06729,-2.99876
1.20517,22.031,22.2922,-1478300,-6631470,1.005,5.512,-4.09784,-2.99876
1.21517,22.031,22.4869,-1490210,-6627020,1.014,5.521,-4.13087,-2.99876
1.22517,22.031,22.7290,-1503230,-6613730,1.024,5.532,-4.16697,-2.99876
1.23517,22.031,22.9144,-1512900,-6602390,1.033,5.540,-4.19375,-2.99876
1.24517,22.031,23.1099,-1526410,-6605030,1.042,5.549,-4.23122,-2.99876
1.25517,22.031,23.4231,-1537520,-6564130,1.056,5.563,-4.26202,-2.99876
1.26517,22.031,23.6184,-1549880,-6562160,1.065,5.572,-4.29627,-2.99876
1.27517,22.031,23.8142,-1561200,-6555770,1.073,5.581,-4.32765,-2.99876
1.28517,22.030,23.9856,-1573290,-6559300,1.081,5.588,-4.36116,-3.46730
1.29517,22.030,24.1997,-1583330,-6542750,1.091,5.598,-4.38898,-3.46730
1.30517,22.030,24.4037,-1595330,-6537220,1.100,5.607,-4.42224,-3.46730
1.31517,22.030,24.7172,-1606480,-6499450,1.114,5.621,-4.45317,-3.46730
1.32517,22.030,24.9126,-1618290,-6495880,1.123,5.630,-4.48591,-3.46730
1.33517,22.030,25.1430,-1629100,-6479340,1.133,5.640,-4.51586,-3.46730
1.34517,22.030,25.3432,-1641060,-6475350,1.142,5.649,-4.54903,-3.46730
1.35517,22.030,25.5792,-1652150,-6458960,1.153,5.660,-4.57976,-3.46730
1.36517,22.030,25.7758,-1663000,-6451770,1.162,5.669,-4.60983,-3.46730
1.37517,22.030,26.0705,-1673810,-6420300,1.175,5.682,-4.63979,-3.46730
1.38517,22.030,26.2047,-1684930,-6429890,1.181,5.688,-4.67063,-3.46730
1.39517,22.030,26.3999,-1695780,-6423430,1.190,5.697,-4.70069,-3.46730
1.40517,22.030,26.5952,-1707720,-6421130,1.199,5.706,-4.73379,-3.46730
1.41517,22.030,26.8312,-1717990,-6402970,1.209,5.717,-4.76227,-3.46730
1.42517,22.030,27.0272,-1729320,-6398440,1.218,5.725,-4.79367,-3.46730
1.43517,22.030,27.3415,-1738870,-6359820,1.232,5.740,-4.82014,-3.46730
1.44517,22.030,27.5375,-1749420,-6352870,1.241,5.748,-4.84940,-3.46730
1.45517,22.030,27.7346,-1759070,-6342510,1.250,5.757,-4.87613,-3.46730
1.46517,22.030,27.9722,-1769480,-6325860,1.261,5.768,-4.90500,-3.46730
1.47517,22.030,28.1665,-1779510,-6317810,1.270,5.777,-4.93279,-3.46730
1.48517,22.029,28.3145,-1789670,-6320690,1.276,5.783,-4.96098,-3.90321
1.49517,22.029,28.4862,-1799350,-6316570,1.284,5.791,-4.98780,-3.90321
1.50517,22.029,28.7395,-1808980,-6294400,1.295,5.803,-5.01448,-3.90321
1.51517,22.029,28.9553,-1816560,-6273690,1.305,5.812,-5.03551,-3.90321
1.52517,22.029,29.1556,-1827120,-6266790,1.314,5.821,-5.06478,-3.90321
1.53517,22.029,29.4608,-1835850,-6231500,1.328,5.835,-5.08898,-3.90321
1.54517,22.029,29.6581,-1845510,-6222610,1.337,5.844,-5.11576,-3.90321
1.55517,22.029,29.8552,-1854950,-6213140,1.346,5.853,-5.14191,-3.90321
1.56517,22.029,30.0526,-1864810,-6205150,1.355,5.862,-5.16925,-3.90321
1.57517,22.029,30.2893,-1872100,-6180730,1.365,5.872,-5.18946,-3.90321
1.58517,22.035,30.5902,-1880360,-6146940,1.379,5.886,-5.21236,-4.27609
1.59517,22.035,30.7471,-1889250,-6144480,1.386,5.893,-5.23700,-4.27609
1.60517,22.035,30.9382,-1898240,-6135570,1.394,5.902,-5.26191,-4.27609
1.61517,22.035,31.1342,-1906510,-6123510,1.403,5.910,-5.28484,-4.27609
1.62517,22.035,31.4251,-1916210,-6097700,1.416,5.924,-5.31173,-4.27609
1.63517,22.035,31.7013,-1923620,-6067960,1.429,5.936,-5.33228,-4.27609
1.64517,22.035,31.9379,-1930910,-6045810,1.440,5.947,-5.35248,-4.27609
1.65517,22.035,32.1338,-1938570,-6032810,1.448,5.956,-5.37372,-4.27609
1.66517,22.035,32.3287,-1946840,-6022020,1.457,5.964,-5.39664,-4.27609
1.67517,22.035,32.4728,-1954560,-6019070,1.464,5.971,-5.41804,-4.27609
1.68517,22.035,32.6468,-1963920,-6015670,1.471,5.979,-5.44399,-4.58535
1.69517,22.035,32.9319,-1970330,-5983040,1.484,5.991,-5.46176,-4.58535
1.70517,22.035,33.1911,-1978130,-5959810,1.496,6.003,-5.48337,-4.58535
1.71517,22.035,33.3879,-1984790,-5944640,1.505,6.012,-5.50183,-4.58535
1.72517,22.035,33.5846,-1991900,-5930990,1.514,6.021,-5.52155,-4.58535
1.73517,22.035,33.7822,-1999010,-5917360,1.523,6.030,-5.54126,-4.58535
1.74517,22.035,34.0931,-2006730,-5886020,1.537,6.044,-5.56265,-4.58535
1.75517,22.035,34.2257,-2013160,-5882010,1.543,6.050,-5.58048,-4.58535
1.76517,22.035,34.5348,-2020600,-5850920,1.557,6.064,-5.60111,-4.58535
1.77517,22.035,34.7287,-2026300,-5834640,1.565,6.072,-5.61690,-4.58535
1.78517,22.035,34.8778,-2032430,-5827290,1.572,6.079,-5.63389,-4.58535
1.79517,22.035,35.0508,-2038720,-5816490,1.580,6.087,-5.65134,-4.58535
1.80517,22.035,35.3050,-2047470,-5799380,1.591,6.098,-5.67559,-4.58535
1.81517,22.035,35.4901,-2053250,-5785410,1.600,6.107,-5.69160,-4.58535
1.82517,22.035,35.7252,-2058740,-5762700,1.610,6.117,-5.70681,-4.58535
1.83517,22.035,35.9447,-2064820,-5744420,1.620,6.127,-5.72367,-4.58535
1.84517,22.035,36.2599,-2072000,-5714310,1.634,6.141,-5.74359,-4.58535
1.85517,22.035,36.4575,-2075570,-5693120,1.643,6.150,-5.75348,-4.58535
1.86517,22.035,36.6546,-2083440,-5683980,1.652,6.159,-5.77530,-4.58535
1.87517,22.035,36.8875,-2090260,-5666580,1.663,6.170,-5.79419,-4.58535
1.88517,22.030,37.0354,-2095600,-5658370,1.669,6.176,-5.80900,-4.83963
1.89517,22.030,37.2078,-2101030,-5646750,1.677,6.184,-5.82406,-4.83963
1.90517,22.030,37.4621,-2107400,-5625410,1.688,6.196,-5.84170,-4.83963
1.91517,22.030,37.7215,-2111600,-5597870,1.700,6.207,-5.85336,-4.83963
1.92517,22.030,37.9655,-2117760,-5578100,1.711,6.218,-5.87042,-4.83963
1.93517,22.030,38.2328,-2123870,-5555100,1.723,6.230,-5.88736,-4.83963
1.94517,22.030,38.4297,-2129480,-5541220,1.732,6.239,-5.90291,-4.83963
1.95517,22.030,38.5950,-2134590,-5530750,1.740,6.247,-5.91709,-4.83963
1.96517,22.030,38.8996,-2140750,-5503270,1.753,6.260,-5.93415,-4.83963
1.97517,22.030,39.0963,-2144530,-5485240,1.762,6.269,-5.94463,-4.83963
1.98517,22.030,39.2673,-2149720,-5474590,1.770,6.277,-5.95903,-5.05219
1.99517,22.030,39.4805,-2154200,-5456360,1.779,6.287,-5.97143,-5.05219
2.00517,22.030,39.6855,-2160270,-5443470,1.789,6.296,-5.98827,-5.05219
2.01517,22.030,39.8830,-2164970,-5428300,1.798,6.305,-6.00130,-5.05219
2.02517,22.030,40.1748,-2169930,-5401230,1.811,6.318,-6.01506,-5.05219
2.03517,22.030,40.3936,-2173920,-5381840,1.821,6.328,-6.02610,-5.05219
2.04517,22.030,40.5890,-2179730,-5370240,1.829,6.337,-6.04221,-5.05219
2.05517,22.030,40.8164,-2183890,-5350530,1.840,6.347,-6.05375,-5.05219
2.06517,22.030,41.0207,-2188760,-5335730,1.849,6.356,-6.06723,-5.05219
2.07517,22.030,41.3324,-2193620,-5307260,1.863,6.370,-6.08070,-5.05219
2.08517,22.030,41.4799,-2199040,-5301460,1.870,6.377,-6.09574,-5.05219
2.09517,22.030,41.6510,-2204010,-5291620,1.877,6.384,-6.10952,-5.05219
2.10517,22.030,41.8488,-2209180,-5278970,1.886,6.393,-6.12386,-5.05219
2.11517,22.030,42.1658,-2212560,-5247270,1.900,6.408,-6.13320,-5.05219
2.12517,22.030,42.3626,-2217830,-5235360,1.909,6.417,-6.14783,-5.05219
2.13517,22.030,42.5595,-2222150,-5221270,1.918,6.425,-6.15979,-5.05219
2.14517,22.030,42.8737,-2226900,-5194090,1.932,6.440,-6.17296,-5.05219
2.15517,22.030,43.0693,-2230650,-5179230,1.941,6.448,-6.18337,-5.05219
2.16517,22.030,43.2075,-2235600,-5174110,1.947,6.455,-6.19709,-5.05219
2.17517,22.030,43.4988,-2239250,-5147840,1.961,6.468,-6.20719,-5.05219
2.18517,22.033,43.6469,-2243970,-5141190,1.967,6.474,-6.22028,-5.23968
2.19517,22.033,43.8184,-2247470,-5129060,1.975,6.482,-6.22999,-5.23968
2.20517,22.033,44.0147,-2252660,-5117960,1.984,6.491,-6.24437,-5.23968
2.21517,22.033,44.2273,-2256850,-5102860,1.993,6.501,-6.25600,-5.23968
2.22517,22.033,44.5260,-2261890,-5079930,2.007,6.514,-6.26996,-5.23968
2.23517,22.033,44.8387,-2265700,-5053010,2.021,6.528,-6.28053,-5.23968
2.24517,22.033,45.0093,-2270110,-5043630,2.029,6.536,-6.29273,-5.23968
2.25517,22.033,45.2029,-2273790,-5030180,2.037,6.545,-6.30294,-5.23968
2.26517,22.033,45.3543,-2278040,-5022760,2.044,6.551,-6.31471,-5.23968
2.27517,22.033,45.4847,-2280220,-5013170,2.050,6.557,-6.32078,-5.23968
2.28517,22.036,45.8353,-2285210,-4985700,2.066,6.573,-6.33460,-5.40022
2.29517,22.036,46.0841,-2287760,-4964320,2.077,6.584,-6.34167,-5.40022
2.30517,22.036,46.3029,-2292190,-4950410,2.087,6.594,-6.35394,-5.40022
2.31517,22.036,46.4985,-2295690,-4937120,2.096,6.603,-6.36365,-5.40022
2.32517,22.036,46.7126,-2298830,-4921230,2.105,6.613,-6.37237,-5.40022
2.33517,22.036,46.9751,-2302180,-4900850,2.117,6.624,-6.38163,-5.40022
2.34517,22.036,47.2407,-2307660,-4884910,2.129,6.636,-6.39684,-5.40022
2.35517,22.036,47.4384,-2310920,-4871430,2.138,6.645,-6.40588,-5.40022
2.36517,22.036,47.6358,-2315260,-4860330,2.147,6.654,-6.41789,-5.40022
2.37517,22.036,47.8325,-2320180,-4850640,2.156,6.663,-6.43155,-5.40022
2.38517,22.036,48.0480,-2324870,-4838630,2.166,6.673,-6.44453,-5.40022
2.39517,22.036,48.2541,-2328180,-4824850,2.175,6.682,-6.45373,-5.40022
2.40517,22.036,48.4160,-2334600,-4821960,2.182,6.689,-6.47150,-5.40022
2.41517,22.036,48.7882,-2339190,-4794590,2.199,6.706,-6.48424,-5.40022
2.42517,22.036,48.9844,-2343820,-4784830,2.208,6.715,-6.49707,-5.40022
2.43517,22.036,49.1798,-2348390,-4775110,2.217,6.724,-6.50975,-5.40022
2.44517,22.036,49.3753,-2353600,-4766770,2.225,6.733,-6.52419,-5.40022
2.45517,22.036,49.6655,-2355690,-4743110,2.239,6.746,-6.52996,-5.40022
2.46517,22.036,49.8263,-2359940,-4736340,2.246,6.753,-6.54176,-5.40022
2.47517,22.036,50.1150,-2363700,-4716550,2.259,6.766,-6.55217,-5.40022
2.48517,22.031,50.2613,-2367680,-4710740,2.265,6.773,-6.56320,-5.57240
2.49517,22.031,50.4313,-2371270,-4701970,2.273,6.780,-6.57315,-5.57240
2.50517,22.031,50.6266,-2377030,-4695220,2.282,6.789,-6.58913,-5.57240
2.51517,22.031,50.8380,-2381100,-4683690,2.291,6.799,-6.60040,-5.57240
2.52517,22.031,51.1347,-2384740,-4663640,2.305,6.812,-6.61049,-5.57240
2.53517,22.031,51.4196,-2389500,-4647050,2.318,6.825,-6.62368,-5.57240
2.54517,22.031,51.6150,-2395210,-4640540,2.326,6.834,-6.63952,-5.57240
2.55517,22.031,51.8095,-2399010,-4630440,2.335,6.842,-6.65005,-5.57240
2.56517,22.031,52.0046,-2404890,-4624390,2.344,6.851,-6.66636,-5.57240
2.57517,22.031,52.2950,-2409900,-4608280,2.357,6.864,-6.68024,-5.57240
2.58517,22.033,52.4394,-2414950,-4605220,2.364,6.871,-6.69424,-5.75892
2.59517,22.033,52.6867,-2419560,-4592360,2.375,6.882,-6.70703,-5.75892
2.60517,22.033,52.9058,-2425130,-4583860,2.385,6.892,-6.72245,-5.75892
2.61517,22.033,53.1013,-2430610,-4577320,2.393,6.901,-6.73766,-5.75892
2.62517,22.033,53.3146,-2436450,-4569950,2.403,6.910,-6.75383,-5.75892
2.63517,22.033,53.5761,-2440630,-4555450,2.415,6.922,-6.76543,-5.75892
2.64517,22.033,53.8413,-2446130,-4543230,2.427,6.934,-6.78068,-5.75892
2.65517,22.033,54.0373,-2450220,-4534320,2.436,6.943,-6.79201,-5.75892
2.66517,22.033,54.2327,-2455130,-4527040,2.444,6.952,-6.80563,-5.75892
2.67517,22.033,54.4278,-2459870,-4519510,2.453,6.960,-6.81877,-5.75892
2.68517,22.033,54.6258,-2464350,-4511320,2.462,6.969,-6.83117,-5.75892
2.69517,22.033,54.9176,-2467070,-4492320,2.475,6.982,-6.83873,-5.75892
2.70517,22.033,55.0774,-2471630,-4487550,2.482,6.990,-6.85135,-5.75892
2.71517,22.033,55.3693,-2474270,-4468660,2.496,7.003,-6.85867,-5.75892
2.72517,22.033,55.5647,-2477080,-4458010,2.504,7.012,-6.86647,-5.75892
2.73517,22.033,55.7601,-2478430,-4444810,2.513,7.020,-6.87021,-5.75892
2.74517,22.033,55.9550,-2482000,-4435710,2.522,7.029,-6.88011,-5.75892
2.75517,22.033,56.2437,-2483690,-4415950,2.535,7.042,-6.88480,-5.75892
2.76517,22.033,56.4036,-2485510,-4406650,2.542,7.049,-6.88984,-5.75892
2.77517,22.033,56.5793,-2486610,-4394900,2.550,7.057,-6.89287,-5.75892
2.78517,22.030,56.7950,-2488690,-4381890,2.560,7.067,-6.89866,-5.90884
2.79517,22.030,57.0112,-2490220,-4367950,2.570,7.077,-6.90289,-5.90884
2.80517,22.030,57.2065,-2493300,-4358420,2.578,7.086,-6.91142,-5.90884
2.81517,22.030,57.4017,-2495930,-4348180,2.587,7.094,-6.91872,-5.90884
2.82517,22.030,57.5976,-2498600,-4338030,2.596,7.103,-6.92613,-5.90884
2.83517,22.030,57.8851,-2499930,-4318790,2.609,7.116,-6.92982,-5.90884
2.84517,22.030,58.1768,-2502460,-4301470,2.622,7.129,-6.93682,-5.90884
2.85517,22.030,58.3959,-2503580,-4287250,2.632,7.139,-6.93992,-5.90884
2.86517,22.030,58.5920,-2506970,-4278690,2.641,7.148,-6.94931,-5.90884
2.87517,22.030,58.8192,-2509320,-4266160,2.651,7.158,-6.95583,-5.90884
2.88517,22.036,58.9985,-2512120,-4257950,2.659,7.166,-6.96361,-5.99795
2.89517,22.036,59.1803,-2513790,-4247690,2.667,7.175,-6.96823,-5.99795
2.90517,22.036,59.4312,-2516930,-4235030,2.679,7.186,-6.97693,-5.99795
2.91517,22.036,59.6882,-2518820,-4219960,2.690,7.197,-6.98217,-5.99795
2.92517,22.036,59.9021,-2521170,-4208810,2.700,7.207,-6.98867,-5.99795
2.93517,22.036,60.1168,-2522370,-4195780,2.710,7.217,-6.99200,-5.99795
2.94517,22.036,60.4292,-2525290,-4178920,2.724,7.231,-7.00010,-5.99795
2.95517,22.036,60.6253,-2526950,-4168140,2.732,7.240,-7.00470,-5.99795
2.96517,22.036,60.8098,-2528940,-4158770,2.741,7.248,-7.01022,-5.99795
2.97517,22.036,61.0010,-2531120,-4149310,2.749,7.257,-7.01626,-5.99795
2.98517,22.036,61.1725,-2533120,-4140940,2.757,7.264,-7.02179,-6.07971
2.99517,22.036,61.3188,-2533590,-4131840,2.764,7.271,-7.02312,-6.07971
3.00517,22.036,61.6024,-2536290,-4117200,2.777,7.284,-7.03060,-6.07971
3.01517,22.036,61.8604,-2537560,-4102080,2.788,7.295,-7.03413,-6.07971
3.02517,22.036,62.1037,-2539500,-4089120,2.799,7.306,-7.03949,-6.07971
3.03517,22.036,62.3302,-2541020,-4076710,2.809,7.317,-7.04370,-6.07971
3.04517,22.036,62.6192,-2543420,-4061720,2.822,7.330,-7.05036,-6.07971
3.05517,22.036,62.7793,-2545360,-4054460,2.830,7.337,-7.05575,-6.07971
