Filename,PCU_A4_NA_2
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
5.16741e-3,21.858,-2.69923e-5,-335194,1.24181e12,-1.431e-6,5.300,-0.929157,0.0292405
0.0151657,21.858,-3.59898e-5,-335214,9.31415e11,-1.907e-6,5.300,-0.929213,0.0292405
0.0251660,21.858,-3.59898e-5,-334833,9.30356e11,-1.907e-6,5.300,-0.928157,0.0292405
0.0351662,21.858,-3.59898e-5,-334936,9.30641e11,-1.907e-6,5.300,-0.928442,0.0292405
0.0451664,21.858,-4.49872e-5,-335634,7.46065e11,-2.384e-6,5.300,-0.930377,0.0292405
0.0551666,21.858,-3.59898e-5,-335124,9.31164e11,-1.907e-6,5.300,-0.928963,0.0292405
0.0651669,21.858,-2.69923e-5,-334864,1.24059e12,-1.431e-6,5.300,-0.928242,0.0292405
0.0751671,21.858,-1.79949e-5,-335270,1.86314e12,-9.537e-7,5.300,-0.929369,0.0292405
0.0851673,21.858,-8.99744e-6,-335067,3.72403e12,-4.768e-7,5.300,-0.928807,0.0292405
0.0951676,21.858,0.00000,-335248,,0.000,5.300,-0.929308,0.0292405
0.105166,21.858,8.99744e-6,-336400,-3.73884e12,4.768e-7,5.300,-0.932500,0.0292405
0.115166,21.858,0.0110848,-342708,-3.09168e9,5.875e-4,5.300,-0.949986,0.0292405
0.125166,21.858,0.0243741,-348759,-1.43086e9,1.292e-3,5.301,-0.966760,0.0292405
0.135167,21.858,0.0582944,-351794,-6.03478e8,3.089e-3,5.303,-0.975173,0.0292405
0.145167,21.858,0.131911,-359774,-2.72739e8,6.991e-3,5.307,-0.997292,0.0292405
0.155167,21.858,0.211620,-368035,-1.73913e8,0.01122,5.311,-1.02019,0.0292405
0.165167,21.858,0.360473,-376607,-1.04476e8,0.01910,5.319,-1.04396,0.0292405
0.175167,21.858,0.467615,-383759,-8.20674e7,0.02478,5.324,-1.06378,0.0292405
0.185166,21.858,0.583646,-391110,-6.70115e7,0.03093,5.331,-1.08416,0.0292405
0.195166,21.865,0.700145,-397266,-5.67405e7,0.03711,5.337,-1.10122,-0.103954
0.205166,21.865,0.842079,-405729,-4.81818e7,0.04463,5.344,-1.12468,-0.103954
0.215166,21.865,0.986713,-412342,-4.17895e7,0.05229,5.352,-1.14301,-0.103954
0.225167,21.865,1.21433,-419675,-3.45602e7,0.06436,5.364,-1.16334,-0.103954
0.235167,21.865,1.36147,-426971,-3.13611e7,0.07215,5.372,-1.18356,-0.103954
0.245167,21.865,1.50740,-434297,-2.88111e7,0.07989,5.380,-1.20387,-0.103954
0.255167,21.865,1.65816,-439450,-2.65023e7,0.08788,5.388,-1.21815,-0.103954
0.265166,21.865,1.83945,-446454,-2.42711e7,0.09749,5.397,-1.23757,-0.103954
0.275166,21.865,2.00021,-453255,-2.26604e7,0.1060,5.406,-1.25642,-0.103954
0.285166,21.865,2.25387,-460249,-2.04204e7,0.1194,5.419,-1.27581,-0.103954
0.295166,21.860,2.41409,-466528,-1.93252e7,0.1279,5.428,-1.29322,-0.379080
0.305167,21.860,2.57481,-474232,-1.84182e7,0.1365,5.436,-1.31457,-0.379080
0.315167,21.860,2.73620,-479770,-1.75342e7,0.1450,5.445,-1.32992,-0.379080
0.325167,21.860,2.92677,-486589,-1.66255e7,0.1551,5.455,-1.34883,-0.379080
0.335167,21.860,3.09478,-492196,-1.59041e7,0.1640,5.464,-1.36437,-0.379080
0.345168,21.860,3.25954,-498930,-1.53068e7,0.1727,5.472,-1.38303,-0.379080
