Filename,PCU_A4_NA_9
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
5.16704e-3,22.337,9.91641e-4,-351572,-3.54536e10,4.148e-5,4.183,-0.974557,-0.0166817
0.0151673,22.337,1.00304e-3,-351689,-3.50623e10,4.196e-5,4.183,-0.974881,-0.0166817
0.0251675,22.337,1.00304e-3,-350968,-3.49905e10,4.196e-5,4.183,-0.972884,-0.0166817
0.0351658,22.337,1.00304e-3,-351592,-3.50527e10,4.196e-5,4.183,-0.974613,-0.0166817
0.0451660,22.337,1.00304e-3,-352262,-3.51195e10,4.196e-5,4.183,-0.976471,-0.0166817
0.0551663,22.337,1.00304e-3,-351436,-3.50371e10,4.196e-5,4.183,-0.974179,-0.0166817
0.0651665,22.337,1.00304e-3,-351085,-3.50021e10,4.196e-5,4.183,-0.973208,-0.0166817
0.0751667,22.337,1.00304e-3,-351726,-3.50660e10,4.196e-5,4.183,-0.974984,-0.0166817
0.0851670,22.337,1.00304e-3,-351289,-3.50224e10,4.196e-5,4.183,-0.973772,-0.0166817
0.0951672,22.337,1.01444e-3,-350971,-3.45976e10,4.244e-5,4.183,-0.972891,-0.0510390
0.105167,22.337,1.01444e-3,-352195,-3.47183e10,4.244e-5,4.183,-0.976285,-0.0510390
0.115166,22.337,1.01444e-3,-351443,-3.46441e10,4.244e-5,4.183,-0.974199,-0.0510390
0.125166,22.337,3.14590e-3,-359491,-1.14273e10,1.316e-4,4.184,-0.996508,-0.0510390
0.135166,22.337,0.0136664,-373918,-2.73604e9,5.717e-4,4.184,-1.03650,-0.0510390
0.145166,22.337,0.0916527,-391165,-4.26790e8,3.834e-3,4.187,-1.08431,-0.0510390
0.155167,22.337,0.166311,-412832,-2.48229e8,6.958e-3,4.190,-1.14437,-0.0510390
0.165167,22.337,0.261634,-435016,-1.66269e8,0.01095,4.194,-1.20587,-0.0510390
0.175167,22.337,0.418837,-454314,-1.08470e8,0.01752,4.201,-1.25936,-0.0510390
