Filename,PCU_A4_NA_7
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
5.16623e-3,22.138,2.90293e-4,-348583,-1.20080e11,1.574e-5,5.421,-0.966272,-8.47481e-3
0.0151665,22.138,2.90293e-4,-349250,-1.20309e11,1.574e-5,5.421,-0.968120,-8.47481e-3
0.0251667,22.138,2.90293e-4,-348559,-1.20071e11,1.574e-5,5.421,-0.966205,-8.47481e-3
0.0351669,22.138,2.90293e-4,-348220,-1.19955e11,1.574e-5,5.421,-0.965265,-8.47481e-3
0.0451671,22.138,2.90293e-4,-348999,-1.20223e11,1.574e-5,5.421,-0.967425,-8.47481e-3
0.0551674,22.138,2.90293e-4,-348702,-1.20121e11,1.574e-5,5.421,-0.966603,-8.47481e-3
0.0651676,22.138,2.90293e-4,-348393,-1.20014e11,1.574e-5,5.421,-0.965746,-8.47481e-3
0.0751659,22.138,2.90293e-4,-348792,-1.20152e11,1.574e-5,5.421,-0.966850,-8.47481e-3
0.0851662,22.138,2.90293e-4,-348508,-1.20054e11,1.574e-5,5.421,-0.966065,-0.167958
0.0951664,22.138,2.90293e-4,-348478,-1.20044e11,1.574e-5,5.421,-0.965980,-0.167958
0.105167,22.138,2.90293e-4,-348796,-1.20153e11,1.574e-5,5.421,-0.966862,-0.167958
0.115167,22.138,2.90293e-4,-352063,-1.21279e11,1.574e-5,5.421,-0.975918,-0.167958
0.125167,22.138,0.0105385,-361727,-3.43243e9,5.713e-4,5.421,-1.00271,-0.167958
0.135167,22.138,0.0328910,-374997,-1.14012e9,1.783e-3,5.422,-1.03949,-0.167958
0.145168,22.138,0.0852317,-393134,-4.61253e8,4.620e-3,5.425,-1.08977,-0.167958
0.155166,22.138,0.147460,-413330,-2.80300e8,7.993e-3,5.429,-1.14575,-0.167958
0.165166,22.138,0.236140,-433803,-1.83706e8,0.01280,5.433,-1.20250,-0.167958
0.175166,22.138,0.377785,-453163,-1.19953e8,0.02048,5.441,-1.25617,-0.167958
0.185167,22.142,0.480109,-472000,-9.83109e7,0.02602,5.447,-1.30838,-0.167958
0.195167,22.142,0.588186,-489375,-8.32008e7,0.03188,5.452,-1.35655,-0.167958
0.205167,22.142,0.705904,-506863,-7.18034e7,0.03826,5.459,-1.40502,-0.167958
0.215167,22.142,0.814975,-523378,-6.42201e7,0.04418,5.465,-1.45080,-0.167958
0.225167,22.142,0.949389,-540295,-5.69098e7,0.05146,5.472,-1.49770,-0.167958
0.235166,22.142,1.12594,-555661,-4.93509e7,0.06103,5.482,-1.54029,-0.167958
0.245166,22.142,1.33577,-571089,-4.27536e7,0.07241,5.493,-1.58306,-0.167958
0.255166,22.142,1.50606,-586511,-3.89433e7,0.08164,5.502,-1.62581,-0.167958
0.265166,22.142,1.65587,-601210,-3.63077e7,0.08976,5.510,-1.66655,-0.167958
0.275167,22.142,1.82548,-616121,-3.37511e7,0.09895,5.520,-1.70789,-0.167958
0.285167,22.138,2.05372,-630243,-3.06878e7,0.1113,5.532,-1.74703,-0.797868
0.295167,22.138,2.20890,-645047,-2.92022e7,0.1197,5.540,-1.78807,-0.797868
0.305167,22.138,2.37159,-660048,-2.78315e7,0.1286,5.549,-1.82965,-0.797868
0.315168,22.138,2.55436,-673289,-2.63584e7,0.1385,5.559,-1.86636,-0.797868
0.325166,22.138,2.71310,-687998,-2.53584e7,0.1471,5.568,-1.90713,-0.797868
0.335166,22.138,2.89170,-700974,-2.42409e7,0.1567,5.577,-1.94310,-0.797868
0.345166,22.138,3.12995,-715136,-2.28481e7,0.1697,5.590,-1.98236,-0.797868
0.355167,22.138,3.26721,-729366,-2.23238e7,0.1771,5.598,-2.02180,-0.797868
0.365167,22.138,3.36854,-743283,-2.20654e7,0.1826,5.603,-2.06038,-0.797868
0.375167,22.138,3.55585,-756281,-2.12687e7,0.1927,5.613,-2.09641,-0.797868
0.385167,22.138,3.70795,-769597,-2.07553e7,0.2010,5.622,-2.13332,-1.34766
