Filename,PCU_A4_NA_3
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
5.16623e-3,21.871,0.00000,-346853,,0.000,4.468,-0.961476,-3.33201e-3
0.0151665,21.871,0.00000,-347488,,0.000,4.468,-0.963238,-3.33201e-3
0.0251667,21.871,0.00000,-346583,,0.000,4.468,-0.960729,-3.33201e-3
0.0351669,21.871,0.00000,-346470,,0.000,4.468,-0.960414,-3.33201e-3
0.0451671,21.871,0.00000,-346840,,0.000,4.468,-0.961441,-3.33201e-3
0.0551674,21.871,0.00000,-346851,,0.000,4.468,-0.961471,-3.33201e-3
0.0651676,21.871,0.00000,-346758,,0.000,4.468,-0.961214,-3.33201e-3
0.0751659,21.871,0.00000,-347031,,0.000,4.468,-0.961969,-3.33201e-3
0.0851662,21.871,1.06731e-3,-346966,-3.25085e10,4.768e-5,4.468,-0.961789,-3.33201e-3
0.0951664,21.871,1.06731e-3,-346567,-3.24711e10,4.768e-5,4.468,-0.960683,-3.33201e-3
0.105167,21.871,1.06731e-3,-346726,-3.24861e10,4.768e-5,4.468,-0.961125,-3.33201e-3
0.115167,21.871,1.06731e-3,-347174,-3.25280e10,4.768e-5,4.468,-0.962366,-3.33201e-3
0.125167,21.871,1.07798e-3,-346777,-3.21691e10,4.816e-5,4.468,-0.961266,-3.33201e-3
0.135167,21.871,1.07798e-3,-346994,-3.21892e10,4.816e-5,4.468,-0.961867,-3.33201e-3
0.145168,21.871,1.07798e-3,-351528,-3.26098e10,4.816e-5,4.468,-0.974434,-3.33201e-3
0.155166,21.871,0.0132346,-357999,-2.70502e9,5.913e-4,4.468,-0.992374,-3.33201e-3
0.165166,21.871,0.0397999,-370968,-9.32084e8,1.778e-3,4.469,-1.02832,-3.33201e-3
0.175166,21.871,0.110947,-383440,-3.45608e8,4.957e-3,4.473,-1.06290,-3.33201e-3
0.185167,21.874,0.172007,-399187,-2.32076e8,7.685e-3,4.475,-1.10655,-0.108621
0.195167,21.874,0.281748,-416266,-1.47744e8,0.01259,4.480,-1.15389,-0.108621
0.205167,21.874,0.412685,-431798,-1.04631e8,0.01844,4.486,-1.19694,-0.108621
0.215167,21.874,0.537282,-448074,-8.33963e7,0.02400,4.492,-1.24206,-0.108621
0.225167,21.874,0.684741,-462620,-6.75612e7,0.03059,4.498,-1.28238,-0.108621
0.235166,21.874,0.922516,-477850,-5.17986e7,0.04121,4.509,-1.32460,-0.108621
0.245166,21.874,1.08164,-492743,-4.55551e7,0.04832,4.516,-1.36588,-0.108621
0.255166,21.874,1.24777,-507394,-4.06642e7,0.05575,4.523,-1.40650,-0.108621
0.265166,21.874,1.41901,-521143,-3.67259e7,0.06340,4.531,-1.44461,-0.108621
0.275167,21.874,1.59429,-535877,-3.36123e7,0.07123,4.539,-1.48545,-0.108621
0.285167,21.872,1.75789,-548634,-3.12098e7,0.07854,4.546,-1.52081,-0.646385
0.295167,21.872,1.91874,-563152,-2.93501e7,0.08572,4.553,-1.56106,-0.646385
0.305167,21.872,2.14305,-576396,-2.68961e7,0.09574,4.563,-1.59777,-0.646385
0.315168,21.872,2.40083,-590164,-2.45816e7,0.1073,4.575,-1.63593,-0.646385
0.325166,21.872,2.62853,-602223,-2.29110e7,0.1174,4.585,-1.66936,-0.646385
0.335166,21.872,2.85608,-615883,-2.15639e7,0.1276,4.595,-1.70723,-0.646385
0.345166,21.872,3.07524,-628244,-2.04291e7,0.1374,4.605,-1.74149,-0.646385
0.355167,21.872,3.28075,-641306,-1.95475e7,0.1466,4.614,-1.77770,-0.646385
0.365167,21.872,3.59027,-654208,-1.82217e7,0.1604,4.628,-1.81347,-0.646385
0.375167,21.872,3.70838,-667227,-1.79924e7,0.1657,4.633,-1.84955,-0.646385
0.385167,21.872,3.86765,-678471,-1.75422e7,0.1728,4.640,-1.88072,-1.14561
0.395168,21.872,4.07537,-691354,-1.69642e7,0.1821,4.650,-1.91643,-1.14561
0.405166,21.872,4.28484,-703082,-1.64086e7,0.1914,4.659,-1.94894,-1.14561
0.415166,21.872,4.48175,-715372,-1.59619e7,0.2002,4.668,-1.98301,-1.14561
0.425166,21.872,4.69495,-727092,-1.54867e7,0.2098,4.677,-2.01550,-1.14561
0.435167,21.872,4.99809,-740241,-1.48105e7,0.2233,4.691,-2.05195,-1.14561
0.445167,21.872,5.23273,-751167,-1.43552e7,0.2338,4.701,-2.08224,-1.14561
0.455167,21.872,5.46981,-763065,-1.39505e7,0.2444,4.712,-2.11522,-1.14561
0.465167,21.872,5.66814,-774554,-1.36651e7,0.2532,4.721,-2.14706,-1.14561
0.475167,21.872,5.86571,-786761,-1.34129e7,0.2621,4.730,-2.18090,-1.14561
0.485166,21.870,6.06333,-797361,-1.31506e7,0.2709,4.739,-2.21029,-1.14561
0.495166,21.870,6.34380,-810370,-1.27742e7,0.2834,4.751,-2.24635,-1.14561
0.505166,21.870,6.57864,-821284,-1.24841e7,0.2939,4.762,-2.27660,-1.14561
0.515166,21.870,6.81450,-833391,-1.22297e7,0.3044,4.772,-2.31016,-1.14561
0.525167,21.870,6.94067,-844335,-1.21650e7,0.3101,4.778,-2.34050,-1.14561
0.535167,21.870,7.12495,-855767,-1.20109e7,0.3183,4.786,-2.37219,-1.14561
0.545167,21.870,7.32340,-866968,-1.18383e7,0.3272,4.795,-2.40323,-1.14561
0.555167,21.870,7.60568,-879382,-1.15622e7,0.3398,4.807,-2.43765,-1.14561
0.565168,21.870,7.84125,-889653,-1.13458e7,0.3503,4.818,-2.46612,-1.14561
0.575166,21.870,8.07808,-901635,-1.11615e7,0.3609,4.829,-2.49933,-1.14561
0.585166,21.870,8.22694,-912665,-1.10936e7,0.3676,4.835,-2.52991,-1.60619
0.595166,21.870,8.39638,-923950,-1.10041e7,0.3751,4.843,-2.56119,-1.60619
0.605167,21.870,8.59477,-934447,-1.08723e7,0.3840,4.852,-2.59029,-1.60619
0.615167,21.870,8.79697,-947072,-1.07659e7,0.3930,4.861,-2.62528,-1.60619
0.625167,21.870,9.11146,-957807,-1.05121e7,0.4071,4.875,-2.65504,-1.60619
0.635167,21.870,9.42780,-968982,-1.02779e7,0.4212,4.889,-2.68602,-1.60619
0.645168,21.870,9.62572,-980468,-1.01859e7,0.4300,4.898,-2.71786,-1.60619
0.655166,21.870,9.82347,-991379,-1.00919e7,0.4389,4.907,-2.74810,-1.60619
0.665166,21.870,9.98111,-1002070,-1.00396e7,0.4459,4.914,-2.77773,-1.60619
0.675166,21.870,10.1684,-1014170,-9973820,0.4543,4.922,-2.81129,-1.60619
0.685167,21.870,10.3556,-1024940,-9897470,0.4627,4.930,-2.84113,-2.05619
0.695167,21.870,10.6191,-1036840,-9763960,0.4744,4.942,-2.87412,-2.05619
0.705167,21.870,10.8520,-1047800,-9655320,0.4848,4.952,-2.90449,-2.05619
0.715167,21.870,11.0490,-1058690,-9581730,0.4936,4.961,-2.93469,-2.05619
0.725167,21.870,11.2629,-1069660,-9497180,0.5032,4.971,-2.96509,-2.05619
0.735166,21.870,11.5108,-1081420,-9394850,0.5143,4.982,-2.99769,-2.05619
