Filename,PCU_A4_NA_1
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
5.16696e-3,21.862,3.38117e-3,-338472,-1.00105e10,1.616e-4,4.781,-0.938245,0.0197241
0.0151672,21.862,3.39115e-3,-338551,-9.98339e9,1.621e-4,4.781,-0.938464,0.0197241
0.0251674,21.862,3.39115e-3,-338696,-9.98766e9,1.621e-4,4.781,-0.938865,0.0197241
0.0351657,21.862,3.40112e-3,-338134,-9.94186e9,1.626e-4,4.781,-0.937309,0.0197241
0.0451660,21.862,3.40112e-3,-338525,-9.95334e9,1.626e-4,4.781,-0.938391,0.0197241
0.0551662,21.862,3.41109e-3,-339701,-9.95870e9,1.631e-4,4.781,-0.941650,0.0197241
0.0651664,21.862,3.41109e-3,-338640,-9.92760e9,1.631e-4,4.781,-0.938709,0.0197241
0.0751667,21.862,3.42107e-3,-338544,-9.89586e9,1.636e-4,4.781,-0.938444,0.0197241
0.0851669,21.862,3.42107e-3,-338500,-9.89458e9,1.636e-4,4.781,-0.938323,0.0197241
0.0951671,21.861,3.43104e-3,-338491,-9.86556e9,1.640e-4,4.781,-0.938298,7.16967e-3
0.105167,21.861,3.43104e-3,-340669,-9.92901e9,1.640e-4,4.781,-0.944333,7.16967e-3
0.115168,21.861,7.83953e-3,-350501,-4.47094e9,3.748e-4,4.781,-0.971588,7.16967e-3
0.125166,21.861,0.0452917,-361755,-7.98721e8,2.165e-3,4.783,-1.00278,7.16967e-3
0.135166,21.861,0.105574,-373843,-3.54104e8,5.047e-3,4.786,-1.03629,7.16967e-3
0.145166,21.861,0.200586,-387631,-1.93249e8,9.590e-3,4.790,-1.07451,7.16967e-3
0.155167,21.861,0.290432,-400711,-1.37971e8,0.01389,4.795,-1.11077,7.16967e-3
0.165167,21.861,0.397362,-412713,-1.03863e8,0.01900,4.800,-1.14404,7.16967e-3
0.175167,21.861,0.516681,-424273,-8.21152e7,0.02470,4.806,-1.17609,7.16967e-3
0.185167,21.861,0.711283,-436954,-6.14319e7,0.03401,4.815,-1.21124,7.16967e-3
0.195167,21.864,0.824617,-447766,-5.42999e7,0.03942,4.820,-1.24121,-0.350410
0.205166,21.864,1.00708,-458224,-4.55003e7,0.04815,4.829,-1.27020,-0.350410
0.215166,21.864,1.16164,-469193,-4.03906e7,0.05554,4.836,-1.30060,-0.350410
0.225166,21.864,1.32032,-479841,-3.63427e7,0.06312,4.844,-1.33012,-0.350410
0.235167,21.864,1.48253,-490654,-3.30957e7,0.07088,4.852,-1.36009,-0.350410
0.245167,21.864,1.73216,-500641,-2.89027e7,0.08281,4.864,-1.38778,-0.350410
0.255167,21.864,1.93670,-511964,-2.64348e7,0.09259,4.873,-1.41917,-0.350410
0.265167,21.864,2.17856,-521593,-2.39421e7,0.1042,4.885,-1.44586,-0.350410
0.275167,21.864,2.35313,-530592,-2.25484e7,0.1125,4.893,-1.47080,-0.350410
0.285166,21.864,2.51952,-541219,-2.14810e7,0.1205,4.901,-1.50026,-0.350410
0.295166,21.864,2.64899,-551197,-2.08078e7,0.1266,4.907,-1.52792,-0.751691
0.305166,21.864,2.84542,-560684,-1.97048e7,0.1360,4.917,-1.55422,-0.751691
0.315166,21.864,3.04346,-570804,-1.87551e7,0.1455,4.926,-1.58227,-0.751691
0.325167,21.864,3.31495,-581252,-1.75342e7,0.1585,4.939,-1.61123,-0.751691
0.335167,21.864,3.50130,-590145,-1.68550e7,0.1674,4.948,-1.63588,-0.751691
0.345167,21.864,3.72142,-600125,-1.61262e7,0.1779,4.959,-1.66355,-0.751691
0.355167,21.864,3.93718,-610046,-1.54945e7,0.1882,4.969,-1.69105,-0.751691
0.365168,21.864,4.07710,-619139,-1.51858e7,0.1949,4.976,-1.71625,-0.751691
0.375166,21.864,4.27934,-628440,-1.46855e7,0.2046,4.985,-1.74204,-0.751691
0.385166,21.864,4.55543,-638428,-1.40147e7,0.2178,4.999,-1.76972,-0.751691
0.395166,21.859,4.72559,-647767,-1.37076e7,0.2259,5.007,-1.79561,-0.751691
0.405167,21.859,4.86298,-656850,-1.35071e7,0.2325,5.013,-1.82079,-0.751691
0.415167,21.859,5.03303,-666594,-1.32444e7,0.2406,5.021,-1.84780,-0.751691
0.425167,21.859,5.24812,-675953,-1.28799e7,0.2509,5.032,-1.87374,-0.751691
0.435167,21.859,5.48588,-684921,-1.24852e7,0.2623,5.043,-1.89860,-0.751691
0.445167,21.859,5.68851,-694033,-1.22006e7,0.2720,5.053,-1.92386,-0.751691
0.455166,21.859,5.96495,-702674,-1.17800e7,0.2852,5.066,-1.94781,-0.751691
0.465166,21.859,6.14886,-712727,-1.15912e7,0.2940,5.075,-1.97568,-0.751691
0.475166,21.859,6.33894,-721713,-1.13854e7,0.3031,5.084,-2.00059,-0.751691
0.485166,21.859,6.55416,-730596,-1.11471e7,0.3133,5.094,-2.02521,-0.751691
0.495167,21.859,6.72572,-739959,-1.10019e7,0.3215,5.102,-2.05117,-1.12346
0.505167,21.859,6.86440,-749095,-1.09128e7,0.3282,5.109,-2.07649,-1.12346
0.515167,21.859,7.14585,-757202,-1.05964e7,0.3416,5.122,-2.09896,-1.12346
0.525167,21.859,7.32966,-766489,-1.04574e7,0.3504,5.131,-2.12471,-1.12346
0.535166,21.859,7.57898,-776602,-1.02468e7,0.3623,5.143,-2.15274,-1.12346
0.545166,21.859,7.80989,-785322,-1.00555e7,0.3734,5.154,-2.17691,-1.12346
0.555166,21.859,7.99425,-794030,-9932520,0.3822,5.163,-2.20105,-1.12346
0.565166,21.859,8.19651,-803489,-9802820,0.3919,5.173,-2.22727,-1.12346
0.575167,21.859,8.44794,-811670,-9607910,0.4039,5.185,-2.24995,-1.12346
0.585167,21.859,8.59706,-819854,-9536450,0.4110,5.192,-2.27264,-1.12346
0.595167,21.865,8.78146,-829875,-9450300,0.4198,5.201,-2.30041,-1.48091
0.605167,21.865,8.96567,-839109,-9359130,0.4286,5.209,-2.32601,-1.48091
0.615168,21.865,9.15032,-847209,-9258800,0.4375,5.218,-2.34846,-1.48091
0.625166,21.865,9.33417,-856737,-9178500,0.4462,5.227,-2.37487,-1.48091
0.635166,21.865,9.63948,-864854,-8972000,0.4608,5.242,-2.39738,-1.48091
0.645166,21.865,9.84044,-873126,-8872840,0.4705,5.251,-2.42030,-1.48091
0.655167,21.865,9.99724,-882490,-8827340,0.4780,5.259,-2.44626,-1.48091
0.665167,21.865,10.2150,-891468,-8727070,0.4884,5.269,-2.47115,-1.48091
0.675167,21.865,10.4187,-900307,-8641240,0.4981,5.279,-2.49565,-1.48091
0.685167,21.865,10.6957,-909034,-8499080,0.5113,5.292,-2.51984,-1.48091
0.695167,21.865,10.8665,-918570,-8453210,0.5195,5.300,-2.54628,-1.48091
0.705166,21.865,11.0048,-926990,-8423530,0.5261,5.307,-2.56962,-1.48091
0.715166,21.865,11.2075,-935846,-8350200,0.5358,5.317,-2.59417,-1.48091
0.725166,21.865,11.3446,-945511,-8334450,0.5424,5.323,-2.62096,-1.48091
0.735166,21.865,11.6376,-954741,-8203970,0.5564,5.337,-2.64654,-1.48091
0.745167,21.865,11.8236,-963718,-8150770,0.5653,5.346,-2.67143,-1.48091
0.755167,21.865,12.0088,-972383,-8097230,0.5741,5.355,-2.69544,-1.48091
0.765167,21.865,12.2845,-981023,-7985870,0.5873,5.368,-2.71940,-1.48091
0.775167,21.865,12.4319,-989978,-7963180,0.5943,5.375,-2.74422,-1.48091
0.785166,21.865,12.7091,-999451,-7864090,0.6076,5.388,-2.77048,-1.48091
0.795166,21.862,12.8803,-1008550,-7830180,0.6158,5.397,-2.79570,-1.83963
0.805166,21.862,13.0187,-1017970,-7819310,0.6224,5.403,-2.82182,-1.83963
0.815166,21.862,13.1898,-1027070,-7786810,0.6306,5.411,-2.84703,-1.83963
0.825167,21.862,13.4663,-1035280,-7687940,0.6438,5.425,-2.86981,-1.83963
0.835167,21.862,13.6132,-1044480,-7672530,0.6508,5.432,-2.89529,-1.83963
0.845167,21.862,13.9633,-1053660,-7545940,0.6676,5.448,-2.92076,-1.83963
0.855167,21.862,14.1482,-1063020,-7513460,0.6764,5.457,-2.94668,-1.83963
0.865168,21.862,14.3274,-1072430,-7485150,0.6850,5.466,-2.97277,-1.83963
0.875166,21.862,14.4631,-1081490,-7477600,0.6915,5.472,-2.99790,-1.83963
0.885166,21.862,14.7335,-1090430,-7401010,0.7044,5.485,-3.02267,-1.83963
0.895166,21.862,14.8716,-1099390,-7392530,0.7110,5.492,-3.04750,-2.20673
