Filename,PCU_A4_NA_8
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
5.16609e-3,22.300,0.00000,-338551,,0.000,5.193,-0.938464,0.0198106
0.0151663,22.300,0.00000,-338661,,0.000,5.193,-0.938768,0.0198106
0.0251665,22.300,0.00000,-338618,,0.000,5.193,-0.938650,0.0198106
0.0351668,22.300,0.00000,-338191,,0.000,5.193,-0.937465,0.0198106
0.0451670,22.300,0.00000,-338546,,0.000,5.193,-0.938449,0.0198106
0.0551672,22.300,0.00000,-338517,,0.000,5.193,-0.938369,0.0198106
0.0651675,22.300,0.00000,-338870,,0.000,5.193,-0.939348,0.0198106
0.0751658,22.300,7.43744e-4,-338750,-4.55466e10,3.862e-5,5.193,-0.939016,0.0174509
0.0851660,22.300,7.43744e-4,-338099,-4.54591e10,3.862e-5,5.193,-0.937211,0.0174509
0.0951662,22.300,7.43744e-4,-337888,-4.54307e10,3.862e-5,5.193,-0.936625,0.0174509
0.105166,22.300,7.43744e-4,-338845,-4.55593e10,3.862e-5,5.193,-0.939278,0.0174509
0.115167,22.300,7.43744e-4,-339144,-4.55995e10,3.862e-5,5.193,-0.940106,0.0174509
0.125167,22.300,7.43744e-4,-338274,-4.54825e10,3.862e-5,5.193,-0.937694,0.0174509
0.135167,22.300,7.43744e-4,-339721,-4.56771e10,3.862e-5,5.193,-0.941707,0.0174509
0.145167,22.300,6.69370e-3,-348358,-5.20426e9,3.476e-4,5.194,-0.965647,0.0174509
0.155168,22.300,0.0227531,-350295,-1.53955e9,1.182e-3,5.194,-0.971017,0.0174509
0.165166,22.300,0.0844379,-360640,-4.27107e8,4.385e-3,5.198,-0.999695,0.0174509
0.175166,22.301,0.139346,-370022,-2.65541e8,7.236e-3,5.200,-1.02570,-0.231084
0.185166,22.301,0.213730,-379916,-1.77755e8,0.01110,5.204,-1.05313,-0.231084
0.195167,22.301,0.304421,-390985,-1.28436e8,0.01581,5.209,-1.08381,-0.231084
0.205167,22.301,0.440719,-401018,-9.09917e7,0.02289,5.216,-1.11162,-0.231084
0.215167,22.301,0.575823,-410087,-7.12176e7,0.02990,5.223,-1.13676,-0.231084
0.225167,22.301,0.771841,-419294,-5.43238e7,0.04008,5.233,-1.16228,-0.231084
0.235168,22.301,0.907065,-428685,-4.72606e7,0.04711,5.240,-1.18831,-0.231084
0.245166,22.301,1.04796,-438495,-4.18426e7,0.05442,5.248,-1.21551,-0.231084
0.255166,22.301,1.19275,-447257,-3.74979e7,0.06194,5.255,-1.23980,-0.231084
0.265166,22.301,1.41642,-456460,-3.22263e7,0.07356,5.267,-1.26531,-0.231084
0.275167,22.303,1.53938,-465296,-3.02263e7,0.07994,5.273,-1.28980,-0.231084
0.285167,22.303,1.77324,-473350,-2.66940e7,0.09209,5.285,-1.31213,-0.231084
0.295167,22.303,1.93065,-482099,-2.49708e7,0.1003,5.293,-1.33638,-0.231084
0.305167,22.303,2.06218,-491205,-2.38197e7,0.1071,5.300,-1.36162,-0.231084
0.315167,22.303,2.21355,-499930,-2.25850e7,0.1150,5.308,-1.38581,-0.231084
0.325166,22.303,2.45698,-507807,-2.06679e7,0.1276,5.321,-1.40764,-0.231084
0.335166,22.303,2.63686,-516072,-1.95715e7,0.1369,5.330,-1.43055,-0.231084
0.345166,22.303,2.77905,-524674,-1.88796e7,0.1443,5.337,-1.45440,-0.231084
0.355166,22.303,3.03455,-532399,-1.75446e7,0.1576,5.351,-1.47581,-0.231084
0.365167,22.303,3.20088,-540857,-1.68971e7,0.1662,5.359,-1.49925,-0.231084
0.375167,22.303,3.36783,-548853,-1.62969e7,0.1749,5.368,-1.52142,-0.574018
0.385167,22.303,3.53528,-557032,-1.57564e7,0.1836,5.377,-1.54409,-0.574018
0.395167,22.303,3.73128,-565490,-1.51554e7,0.1938,5.387,-1.56754,-0.574018
0.405168,22.303,3.90524,-572773,-1.46668e7,0.2028,5.396,-1.58773,-0.574018
0.415166,22.303,4.17557,-580711,-1.39073e7,0.2168,5.410,-1.60973,-0.574018
0.425166,22.303,4.34495,-588777,-1.35508e7,0.2256,5.419,-1.63209,-0.574018
0.435166,22.303,4.51468,-596779,-1.32186e7,0.2345,5.428,-1.65427,-0.574018
0.445167,22.303,4.71486,-604737,-1.28262e7,0.2449,5.438,-1.67633,-0.574018
0.455167,22.303,4.84313,-612163,-1.26398e7,0.2515,5.445,-1.69692,-0.574018
0.465167,22.303,5.00888,-619582,-1.23697e7,0.2601,5.453,-1.71748,-0.574018
0.475167,22.305,5.14880,-627191,-1.21813e7,0.2674,5.461,-1.73857,-0.886441
0.485168,22.305,5.29726,-635321,-1.19934e7,0.2751,5.468,-1.76111,-0.886441
0.495166,22.305,5.55281,-642801,-1.15761e7,0.2884,5.482,-1.78184,-0.886441
0.505166,22.305,5.72294,-650914,-1.13738e7,0.2972,5.490,-1.80433,-0.886441
0.515166,22.305,5.94429,-659127,-1.10884e7,0.3087,5.502,-1.82710,-0.886441
0.525167,22.305,6.16531,-665181,-1.07891e7,0.3202,5.513,-1.84388,-0.886441
0.535167,22.305,6.43582,-673205,-1.04603e7,0.3342,5.527,-1.86612,-0.886441
0.545167,22.305,6.60515,-681326,-1.03151e7,0.3430,5.536,-1.88864,-0.886441
0.555167,22.305,6.77544,-688380,-1.01599e7,0.3519,5.545,-1.90819,-0.886441
0.565167,22.305,6.94566,-695757,-1.00171e7,0.3607,5.554,-1.92864,-0.886441
0.575166,22.303,7.11574,-704090,-9894820,0.3695,5.563,-1.95174,-0.886441
0.585166,22.303,7.28554,-711358,-9763970,0.3783,5.572,-1.97188,-0.886441
0.595166,22.303,7.43617,-717736,-9651960,0.3862,5.579,-1.98957,-0.886441
0.605166,22.303,7.63059,-726598,-9522180,0.3963,5.589,-2.01413,-0.886441
0.615167,22.303,7.85203,-734477,-9353970,0.4078,5.601,-2.03597,-0.886441
0.625167,22.303,8.02245,-740618,-9231820,0.4166,5.610,-2.05299,-0.886441
0.635167,22.303,8.21028,-749128,-9124270,0.4264,5.620,-2.07658,-0.886441
0.645167,22.303,8.49962,-755882,-8893130,0.4414,5.635,-2.09531,-0.886441
0.655168,22.303,8.66892,-763374,-8805870,0.4502,5.643,-2.11607,-0.886441
0.665166,22.303,8.83899,-771706,-8730710,0.4590,5.652,-2.13917,-0.886441
0.675166,22.302,8.97927,-778669,-8671860,0.4663,5.659,-2.15847,-1.18783
0.685166,22.302,9.12790,-786335,-8614640,0.4740,5.667,-2.17972,-1.18783
0.695167,22.302,9.38219,-793847,-8461210,0.4872,5.680,-2.20054,-1.18783
0.705167,22.302,9.56899,-801568,-8376720,0.4969,5.690,-2.22195,-1.18783
0.715167,22.302,9.81520,-808523,-8237460,0.5097,5.703,-2.24123,-1.18783
0.725167,22.302,10.0448,-816199,-8125560,0.5216,5.715,-2.26250,-1.18783
0.735168,22.302,10.1781,-824419,-8099930,0.5286,5.722,-2.28529,-1.18783
0.745166,22.302,10.3416,-831410,-8039460,0.5371,5.730,-2.30467,-1.18783
0.755166,22.302,10.5122,-839463,-7985600,0.5459,5.739,-2.32699,-1.18783
0.765166,22.302,10.7062,-846538,-7906990,0.5560,5.749,-2.34660,-1.18783
0.775167,22.302,10.8887,-853515,-7838520,0.5655,5.759,-2.36594,-1.49024
0.785167,22.302,11.0597,-862295,-7796720,0.5743,5.768,-2.39028,-1.49024
0.795167,22.302,11.2995,-868962,-7690290,0.5868,5.780,-2.40876,-1.49024
0.805167,22.302,11.5056,-876925,-7621730,0.5975,5.791,-2.43084,-1.49024
0.815167,22.302,11.7120,-885646,-7561860,0.6082,5.801,-2.45501,-1.49024
0.825166,22.302,11.8835,-892076,-7506850,0.6171,5.810,-2.47284,-1.49024
0.835166,22.302,12.0553,-899357,-7460250,0.6261,5.819,-2.49302,-1.49024
0.845166,22.302,12.2275,-907424,-7421160,0.6350,5.828,-2.51538,-1.49024
0.855166,22.302,12.4678,-915301,-7341300,0.6475,5.841,-2.53722,-1.49024
0.865167,22.302,12.6734,-922626,-7280040,0.6581,5.851,-2.55752,-1.49024
0.875167,22.301,12.8340,-930649,-7251420,0.6665,5.860,-2.57976,-1.49024
0.885167,22.301,12.9745,-938884,-7236390,0.6738,5.867,-2.60259,-1.49024
0.895167,22.301,13.2135,-945868,-7158370,0.6862,5.879,-2.62195,-1.49024
0.905168,22.301,13.4023,-953474,-7114280,0.6960,5.889,-2.64303,-1.49024
0.915166,22.301,13.5737,-961594,-7084230,0.7049,5.898,-2.66554,-1.49024
0.925166,22.301,13.7745,-969767,-7040280,0.7153,5.908,-2.68819,-1.49024
0.935166,22.301,13.9519,-977497,-7006190,0.7245,5.918,-2.70962,-1.49024
0.945167,22.301,14.1237,-985018,-6974200,0.7335,5.927,-2.73047,-1.49024
0.955167,22.301,14.2667,-993096,-6960920,0.7409,5.934,-2.75286,-1.49024
0.965167,22.301,14.3807,-1000830,-6959550,0.7468,5.940,-2.77431,-1.49024
0.975167,22.302,14.7088,-1008270,-6854880,0.7638,5.957,-2.79492,-1.80152
0.985168,22.302,14.8464,-1017000,-6850130,0.7710,5.964,-2.81912,-1.80152
0.995166,22.302,15.0464,-1025310,-6814310,0.7814,5.975,-2.84215,-1.80152
1.00517,22.302,15.2171,-1032480,-6785010,0.7903,5.983,-2.86205,-1.80152
1.01517,22.302,15.4056,-1040860,-6756360,0.8000,5.993,-2.88526,-1.80152
1.02517,22.302,15.6429,-1048470,-6702510,0.8124,6.006,-2.90635,-1.80152
1.03517,22.302,15.8048,-1056000,-6681540,0.8208,6.014,-2.92724,-1.80152
1.04517,22.302,15.9941,-1065220,-6660130,0.8306,6.024,-2.95280,-1.80152
1.05517,22.302,16.2517,-1073350,-6604540,0.8440,6.037,-2.97532,-1.80152
1.06517,22.302,16.4400,-1080690,-6573530,0.8538,6.047,-2.99566,-1.80152
1.07517,22.302,16.5807,-1089150,-6568800,0.8611,6.054,-3.01913,-2.12257
1.08517,22.302,16.7127,-1096880,-6563130,0.8679,6.061,-3.04054,-2.12257
1.09517,22.302,16.8836,-1105350,-6546870,0.8768,6.070,-3.06403,-2.12257
1.10517,22.302,17.1057,-1113610,-6510180,0.8883,6.081,-3.08692,-2.12257
1.11517,22.302,17.3765,-1121950,-6456700,0.9024,6.096,-3.11004,-2.12257
1.12517,22.302,17.5967,-1130300,-6423360,0.9138,6.107,-3.13319,-2.12257
1.13517,22.302,17.7657,-1137890,-6405020,0.9226,6.116,-3.15424,-2.12257
1.14517,22.302,18.0187,-1146010,-6360080,0.9357,6.129,-3.17673,-2.12257
1.15517,22.302,18.2041,-1154600,-6342560,0.9454,6.139,-3.20056,-2.12257
1.16517,22.302,18.3730,-1163110,-6330570,0.9541,6.147,-3.22415,-2.12257
1.17517,22.304,18.5130,-1171540,-6328190,0.9614,6.155,-3.24750,-2.12257
1.18517,22.304,18.6654,-1180100,-6322420,0.9693,6.162,-3.27125,-2.12257
1.19517,22.304,18.8357,-1188870,-6311770,0.9782,6.171,-3.29554,-2.12257
