Filename,PCU_A4_NA_4
Instrument name,RSAG2
Operator,
rundate,9/18/2018
proceduresegments,Flow Axial Test
[step]
Axial - 1
Step time,Temperature,Strain,Stress,Modulus,Delta length,Gap,Force,Axial force
s,°C,%,Pa,Pa,mm,mm,N,N
5.33290e-3,21.945,-6.38979e-5,-324446,5.07757e11,-4.292e-6,6.716,-0.899364,0.0566615
0.0153331,21.945,-7.09977e-5,-325125,4.57937e11,-4.768e-6,6.716,-0.901246,0.0566615
0.0253334,21.945,-7.80974e-5,-324931,4.16058e11,-5.245e-6,6.716,-0.900707,0.0566615
0.0353336,21.945,-8.51972e-5,-325634,3.82212e11,-5.722e-6,6.716,-0.902658,0.0566615
0.0453338,21.945,-9.93968e-5,-325016,3.26989e11,-6.676e-6,6.716,-0.900945,0.0566615
0.0553340,21.945,-1.06497e-4,-323558,3.03821e11,-7.153e-6,6.716,-0.896904,0.0566615
0.0653343,21.945,-3.54988e-5,-324127,9.13063e11,-2.384e-6,6.716,-0.898479,0.0566615
0.0753326,21.945,5.96381e-4,-324804,-5.44625e10,4.005e-5,6.716,-0.900356,0.0566615
0.0853328,21.943,1.22826e-3,-324797,-2.64437e10,8.249e-5,6.716,-0.900337,0.0533338
0.0953330,21.943,1.86014e-3,-324720,-1.74568e10,1.249e-4,6.716,-0.900125,0.0533338
0.105333,21.943,2.49202e-3,-325225,-1.30507e10,1.674e-4,6.716,-0.901525,0.0533338
0.115334,21.943,3.12390e-3,-326696,-1.04580e10,2.098e-4,6.716,-0.905601,0.0533338
0.125334,21.943,6.75188e-3,-333722,-4.94266e9,4.535e-4,6.717,-0.925078,0.0533338
0.135334,21.943,0.0330707,-335889,-1.01567e9,2.221e-3,6.718,-0.931084,0.0533338
0.145334,21.943,0.0718000,-339726,-4.73157e8,4.822e-3,6.721,-0.941722,0.0533338
0.155333,21.943,0.133696,-347200,-2.59694e8,8.979e-3,6.725,-0.962438,0.0533338
0.165333,21.943,0.199589,-352653,-1.76690e8,0.01340,6.730,-0.977554,0.0533338
0.175333,21.943,0.276082,-360063,-1.30419e8,0.01854,6.735,-0.998096,0.0533338
0.185333,21.943,0.344885,-365910,-1.06096e8,0.02316,6.739,-1.01430,-0.118271
0.195333,21.943,0.424850,-372639,-8.77107e7,0.02853,6.745,-1.03296,-0.118271
0.205334,21.943,0.551794,-378204,-6.85408e7,0.03706,6.753,-1.04838,-0.118271
0.215334,21.943,0.664176,-384915,-5.79537e7,0.04461,6.761,-1.06698,-0.118271
0.225334,21.943,0.801692,-391345,-4.88149e7,0.05384,6.770,-1.08481,-0.118271
0.235332,21.943,0.942885,-397777,-4.21872e7,0.06333,6.780,-1.10264,-0.118271
0.245333,21.943,1.07595,-403211,-3.74750e7,0.07226,6.788,-1.11770,-0.118271
0.255333,21.943,1.25657,-409470,-3.25862e7,0.08439,6.801,-1.13505,-0.118271
0.265333,21.943,1.35114,-414735,-3.06951e7,0.09075,6.807,-1.14965,-0.118271
0.275333,21.943,1.53621,-420589,-2.73783e7,0.1032,6.819,-1.16587,-0.118271
0.285334,21.943,1.66145,-425881,-2.56332e7,0.1116,6.828,-1.18054,-0.118271
0.295334,21.943,1.75845,-433644,-2.46606e7,0.1181,6.834,-1.20206,-0.118271
0.305334,21.943,1.86995,-438542,-2.34520e7,0.1256,6.842,-1.21564,-0.118271
0.315334,21.943,2.03775,-444534,-2.18149e7,0.1369,6.853,-1.23225,-0.118271
0.325333,21.943,2.17124,-449518,-2.07032e7,0.1458,6.862,-1.24606,-0.118271
0.335333,21.943,2.29215,-454821,-1.98425e7,0.1539,6.870,-1.26076,-0.118271
0.345333,21.943,2.50052,-459906,-1.83924e7,0.1679,6.884,-1.27486,-0.118271
0.355333,21.943,2.64092,-466246,-1.76547e7,0.1774,6.894,-1.29243,-0.118271
0.365333,21.943,2.77100,-471437,-1.70132e7,0.1861,6.902,-1.30682,-0.118271
0.375334,21.943,2.90111,-478223,-1.64841e7,0.1948,6.911,-1.32563,-0.118271
0.385334,21.942,3.04492,-484035,-1.58965e7,0.2045,6.921,-1.34175,-0.349403
0.395334,21.942,3.26515,-488130,-1.49497e7,0.2193,6.936,-1.35310,-0.349403
0.405333,21.942,3.39624,-492666,-1.45062e7,0.2281,6.944,-1.36567,-0.349403
0.415333,21.942,3.52730,-499140,-1.41508e7,0.2369,6.953,-1.38362,-0.349403
0.425333,21.942,3.65820,-503472,-1.37628e7,0.2457,6.962,-1.39562,-0.349403
0.435333,21.942,3.77789,-509921,-1.34975e7,0.2537,6.970,-1.41350,-0.349403
0.445333,21.942,3.90815,-515278,-1.31847e7,0.2625,6.979,-1.42835,-0.349403
0.455334,21.942,4.05211,-520349,-1.28414e7,0.2721,6.988,-1.44241,-0.349403
0.465334,21.942,4.25160,-524325,-1.23324e7,0.2855,7.002,-1.45343,-0.349403
0.475334,21.942,4.39412,-530621,-1.20757e7,0.2951,7.011,-1.47088,-0.349403
0.485332,21.943,4.50222,-535624,-1.18969e7,0.3024,7.019,-1.48475,-0.563763
0.495333,21.943,4.60991,-541334,-1.17428e7,0.3096,7.026,-1.50058,-0.563763
0.505333,21.943,4.76209,-547278,-1.14924e7,0.3198,7.036,-1.51705,-0.563763
0.515333,21.943,4.89310,-552202,-1.12853e7,0.3286,7.045,-1.53070,-0.563763
0.525333,21.943,5.03968,-557294,-1.10581e7,0.3385,7.055,-1.54482,-0.563763
0.535334,21.943,5.26894,-563173,-1.06885e7,0.3539,7.070,-1.56112,-0.563763
0.545334,21.943,5.41864,-566764,-1.04595e7,0.3639,7.080,-1.57107,-0.563763
0.555334,21.943,5.54933,-573766,-1.03394e7,0.3727,7.089,-1.59048,-0.563763
0.565334,21.943,5.69349,-578611,-1.01627e7,0.3824,7.099,-1.60391,-0.563763
0.575333,21.943,5.83597,-584838,-1.00213e7,0.3920,7.108,-1.62117,-0.563763
0.585333,21.943,6.01331,-589641,-9805590,0.4039,7.120,-1.63448,-0.778023
0.595333,21.943,6.13487,-594476,-9690110,0.4120,7.128,-1.64789,-0.778023
0.605333,21.943,6.25714,-598916,-9571720,0.4202,7.136,-1.66020,-0.778023
0.615333,21.943,6.38847,-605730,-9481620,0.4291,7.145,-1.67908,-0.778023
0.625334,21.943,6.52470,-610595,-9358210,0.4382,7.154,-1.69257,-0.778023
0.635334,21.943,6.74463,-616423,-9139460,0.4530,7.169,-1.70872,-0.778023
0.645334,21.943,6.88761,-622374,-9036150,0.4626,7.179,-1.72522,-0.778023
0.655333,21.943,7.02005,-627147,-8933650,0.4715,7.188,-1.73845,-0.778023
0.665333,21.943,7.15229,-630621,-8817050,0.4804,7.197,-1.74808,-0.778023
0.675333,21.943,7.29772,-638087,-8743650,0.4901,7.206,-1.76878,-0.778023
0.685333,21.939,7.41790,-642847,-8666150,0.4982,7.214,-1.78197,-0.778023
0.695333,21.939,7.53579,-647403,-8591040,0.5061,7.222,-1.79460,-0.778023
0.705334,21.939,7.73114,-653409,-8451640,0.5192,7.235,-1.81125,-0.778023
0.715334,21.939,7.86268,-659048,-8381970,0.5281,7.244,-1.82688,-0.778023
0.725334,21.939,7.99811,-662867,-8287790,0.5372,7.253,-1.83747,-0.778023
0.735332,21.939,8.16751,-670048,-8203830,0.5485,7.265,-1.85737,-0.778023
0.745333,21.939,8.31083,-674986,-8121760,0.5582,7.274,-1.87106,-0.778023
0.755333,21.939,8.50941,-679656,-7987120,0.5715,7.288,-1.88401,-0.778023
0.765333,21.939,8.65212,-685156,-7918940,0.5811,7.297,-1.89925,-0.778023
0.775333,21.939,8.78373,-689849,-7853710,0.5899,7.306,-1.91226,-0.778023
0.785334,21.943,8.90530,-694463,-7798310,0.5981,7.314,-1.92505,-0.991190
0.795334,21.943,9.02483,-701276,-7770520,0.6061,7.322,-1.94394,-0.991190
0.805334,21.943,9.17707,-706310,-7696460,0.6164,7.333,-1.95789,-0.991190
0.815334,21.943,9.35014,-712310,-7618170,0.6280,7.344,-1.97452,-0.991190
0.825333,21.943,9.51942,-718098,-7543500,0.6393,7.356,-1.99057,-0.991190
0.835333,21.943,9.66547,-724084,-7491450,0.6492,7.365,-2.00716,-0.991190
0.845333,21.943,9.83305,-727007,-7393500,0.6604,7.377,-2.01526,-0.991190
0.855333,21.943,9.96844,-733633,-7359560,0.6695,7.386,-2.03363,-0.991190
